comparison,baseline,candidate,metric,n,baseline_mean,candidate_mean,mean_difference_candidate_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,better_direction_mean,candidate_better_fraction
matched_whole vs cfseg_counterfactual,cfseg_counterfactual,matched_whole,area_error,50,0.18603319844945754,0.18603319844945754,-5.342948306008566e-18,-1.3183898417423733e-17,1.249000902703301e-18,0.23250769389683978,5.342948306008566e-18,0.08
reverse_whole vs original,original,reverse_whole,dice,50,0.6772468420312258,0.6772468420312258,1.1102230246251566e-18,-9.992007221626408e-18,1.2212453270876722e-17,0.9280084603415849,1.1102230246251566e-18,0.08
reverse_whole vs original,original,reverse_whole,iou,50,0.5345676084767483,0.5345676084767483,1.1102230246251566e-18,-8.881784197001253e-18,1.2212453270876722e-17,0.7728299926844475,1.1102230246251566e-18,0.08
reverse_whole vs original,original,reverse_whole,boundary_f1,50,0.1393769910384176,0.1393769910384176,-9.71445146547012e-19,-2.7755575615628915e-18,4.163336342344337e-19,0.2692941367197367,-9.71445146547012e-19,0.02
reverse_whole vs original,original,reverse_whole,hd95,50,131.00369874815203,131.00369874815203,-4.263256414560601e-16,-1.9895196601282807e-15,7.105427357601002e-16,0.5807121621890252,4.263256414560601e-16,0.04
reverse_whole vs original,original,reverse_whole,area_error,50,0.3119994678093072,0.3119994678093072,6.106226635438361e-18,-1.1102230246251566e-18,1.4432899320127036e-17,0.15049923625515477,-6.106226635438361e-18,0.04
reverse_whole vs matched_whole,matched_whole,reverse_whole,dice,50,0.8308603014915151,0.6772468420312258,-0.15361345946028948,-0.19892454424985495,-0.11420987907169708,3.6148861681795097e-12,-0.15361345946028948,0.12
reverse_whole vs matched_whole,matched_whole,reverse_whole,iou,50,0.7271969485327051,0.5345676084767483,-0.19262934005595667,-0.2418787380823527,-0.14674849357945594,8.842704346534447e-12,-0.19262934005595667,0.12
reverse_whole vs matched_whole,matched_whole,reverse_whole,boundary_f1,50,0.20744421564519352,0.1393769910384176,-0.0680672246067759,-0.09495497825245208,-0.042244422863873435,2.9747345218211763e-05,-0.0680672246067759,0.34
reverse_whole vs matched_whole,matched_whole,reverse_whole,hd95,50,93.13252627413802,131.00369874815203,37.871172474014,21.33518903981054,54.09469721671783,4.213757459226031e-05,-37.871172474014,0.26
reverse_whole vs matched_whole,matched_whole,reverse_whole,area_error,50,0.18603319844945754,0.3119994678093072,0.12596626935984967,0.008171352091156641,0.23836007381513294,0.017101069545240932,-0.12596626935984967,0.28
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,dice,50,0.672286485096704,0.8308603014915151,0.15857381639481116,0.12497560749888731,0.19198580048150304,4.9604764740251994e-11,0.15857381639481116,0.94
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,iou,50,0.5169615466683051,0.7271969485327051,0.2102354018644001,0.16776237077318995,0.25390002054672717,1.34718902700115e-11,0.2102354018644001,0.94
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,boundary_f1,50,0.05732269772818405,0.20744421564519352,0.1501215179170095,0.1159161640501692,0.18525220551473354,8.842704346534447e-12,0.1501215179170095,0.92
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,hd95,50,135.8783454480593,93.13252627413802,-42.74581917392129,-59.17298315122932,-27.68980742867654,1.206143563692308e-06,42.74581917392129,0.78
matched_whole vs nonmatched_whole,nonmatched_whole,matched_whole,area_error,50,0.2149875897572326,0.18603319844945754,-0.028954391307775024,-0.11345946302076652,0.0525778533903602,0.8035269768960163,0.028954391307775024,0.48
matched_background vs matched_boundary,matched_boundary,matched_background,dice,50,0.6948060962133527,0.7758442161700692,0.08103811995671638,0.057812532651581275,0.10791750603333951,5.610267805877811e-11,0.08103811995671638,0.92
matched_background vs matched_boundary,matched_boundary,matched_background,iou,50,0.5602617408956899,0.6629321108991856,0.10267037000349562,0.07381231591099453,0.13391704459796036,8.060396794462577e-11,0.10267037000349562,0.92
matched_background vs matched_boundary,matched_boundary,matched_background,boundary_f1,50,0.14412690373587034,0.21013156264998206,0.06600465891411171,0.05200506331520043,0.07998739256769336,3.0890845437170356e-12,0.06600465891411171,0.9
matched_background vs matched_boundary,matched_boundary,matched_background,hd95,50,115.70869065247145,100.88199172197481,-14.826698930496628,-24.84464661882796,-4.463885135656051,0.002049094724295486,14.826698930496628,0.7
matched_background vs matched_boundary,matched_boundary,matched_background,area_error,50,0.2195559068478198,0.1853267202390537,-0.034229186608766136,-0.099861648809481,0.03397413076965686,0.12316903051698347,0.034229186608766136,0.64
matched_boundary vs matched_random_like_boundary,matched_random_like_boundary,matched_boundary,dice,50,0.729096293903067,0.6948060962133527,-0.03429019768971436,-0.059632822833968285,-0.011526009931223297,0.025500083179634814,-0.03429019768971436,0.32
matched_boundary vs matched_random_like_boundary,matched_random_like_boundary,matched_boundary,iou,50,0.5943547545081413,0.5602617408956899,-0.034093013612451435,-0.0629429236064415,-0.008118652101169615,0.05060520369320898,-0.034093013612451435,0.34
matched_boundary vs matched_random_like_boundary,matched_random_like_boundary,matched_boundary,boundary_f1,50,0.13833726713718003,0.14412690373587034,0.005789636598690318,-0.0057844102076154,0.01820427098655539,0.5462652589115535,0.005789636598690318,0.46
matched_boundary vs matched_random_like_boundary,matched_random_like_boundary,matched_boundary,hd95,50,125.11928788525826,115.70869065247145,-9.41059723278682,-14.97149629678949,-4.364197028793403,0.001909205638362721,9.41059723278682,0.7
matched_boundary vs matched_random_like_boundary,matched_random_like_boundary,matched_boundary,area_error,50,0.3416769228511257,0.2195559068478198,-0.12212101600330591,-0.18496053997777726,-0.06536938381033697,0.0005966978973450665,0.12212101600330591,0.66
matched_background vs matched_random_like_background,matched_random_like_background,matched_background,dice,50,0.8159490212443115,0.7758442161700692,-0.04010480507424239,-0.07035025201531213,-0.014951386022131226,0.03996834652842374,-0.04010480507424239,0.42
matched_background vs matched_random_like_background,matched_random_like_background,matched_background,iou,50,0.706083337038507,0.6629321108991856,-0.04315122613932168,-0.07456186381742311,-0.01593824417223246,0.04294367729928261,-0.04315122613932168,0.42
matched_background vs matched_random_like_background,matched_random_like_background,matched_background,boundary_f1,50,0.1875088385084565,0.21013156264998206,0.02262272414152557,0.012867915354746889,0.032344912140950026,2.3068974657647345e-05,0.02262272414152557,0.78
matched_background vs matched_random_like_background,matched_random_like_background,matched_background,hd95,50,102.11200379772303,100.88199172197481,-1.2300120757482167,-7.416573509079375,5.402641265107178,0.4375680954084249,1.2300120757482167,0.56
matched_background vs matched_random_like_background,matched_random_like_background,matched_background,area_error,50,0.22438070077721356,0.1853267202390537,-0.039053980538159866,-0.07667452351835315,-0.00443745742645649,0.19095974436218555,0.039053980538159866,0.54
